EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BARIUM,BARIUM_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,O/OO,,UM/KG,
  32H120030721,   CAA,     1,  2, 264515,     15,2,20030726,0429, 72.7530, -67.0245, 2374,    352.1,   1.0715,  34.2920,  34.3290,2,   -999.0,9,    21.65,2,    16.13,2,     0.01,2,     1.29,2,     0.04,2,    3.420,2,    1.736,2,    4.182,2,   -999.0,9,   -999.0,9,    -0.28,2,    54.00,2
  32H120030721,   CAA,     1,  2, 264514,     14,2,20030726,0429, 72.7530, -67.0245, 2374,    501.9,   1.5765,  34.4695,  34.4709,2,    227.9,2,    23.17,2,    16.71,2,     0.01,2,     1.30,2,     0.03,2,    3.189,2,    1.552,2,    5.347,2,   -999.0,9,   -999.0,9,    -0.18,2,    52.80,2
  32H120030721,   CAA,     1,  2, 264513,     13,2,20030726,0429, 72.7530, -67.0245, 2374,    603.2,   1.4925,  34.4975,  34.5031,2,   -999.0,9,    25.88,2,    17.14,2,     0.01,2,     1.33,2,     0.03,2,    2.282,2,    1.064,2,    3.168,2,   2191.4,2,   2270.3,2,    -0.13,2,    55.50,2
  32H120030721,   CAA,     1,  2, 264512,     12,2,20030726,0429, 72.7530, -67.0245, 2374,    702.2,   1.3460,  34.5065,  34.5096,2,   -999.0,9,    29.79,2,    17.57,2,     0.01,2,     1.36,2,        0,2, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,    -0.10,2,    56.30,2
  32H120030721,   CAA,     1,  2, 264511,     11,2,20030726,0429, 72.7530, -67.0245, 2374,    802.6,   1.1875,  34.5085,  34.5104,2,   -999.0,9,    33.38,2,    17.78,2,     0.01,2,     1.39,2,     0.01,2,    1.429,2,    0.627,2,    2.467,2,   2202.0,2,   2272.3,2,    -0.14,2,    57.80,2
  32H120030721,   CAA,     1,  2, 264510,     10,2,20030726,0429, 72.7530, -67.0245, 2374,    902.0,   1.0225,  34.5055,  34.5075,2,   -999.0,9,    36.99,2,    18.00,2,     0.01,2,     1.42,2,     0.02,2,    1.164,2,    0.831,2,    2.109,2,   -999.0,9,   -999.0,9,    -0.23,2,    60.00,2
  32H120030721,   CAA,     1,  2, 264509,      9,2,20030726,0429, 72.7530, -67.0245, 2374,   1001.7,   0.8440,  34.4995,  34.5004,2,    193.1,2,    41.94,2,    18.34,2,     0.01,2,     1.46,2,     0.01,2,    0.863,2,    0.398,2,    2.670,2,   2209.7,2,   2287.5,2,    -0.22,2,    62.20,2
  32H120030721,   CAA,     1,  2, 264508,      8,2,20030726,0429, 72.7530, -67.0245, 2374,   1101.3,   0.6815,  34.4955,  34.4980,2,   -999.0,9,    46.88,2,    18.82,2,     0.01,2,     1.52,2,     0.01,2,    0.724,2,    0.187,2,    1.861,2,   -999.0,9,   -999.0,9,    -0.23,2,    63.50,2
  32H120030721,   CAA,     1,  2, 264507,      7,2,20030726,0429, 72.7530, -67.0245, 2374,   1202.1,   0.4785,  34.4915,  34.4935,2,   -999.0,9,    53.17,2,    19.58,2,     0.01,2,     1.57,2,     0.02,2,    0.517,2,    0.385,2,    1.070,2,   -999.0,9,   -999.0,9,    -0.23,2,    68.00,2
  32H120030721,   CAA,     1,  2, 264506,      6,2,20030726,0429, 72.7530, -67.0245, 2374,   1302.2,   0.2580,  34.4870,  34.4892,2,   -999.0,9,    59.76,2,    20.26,2,     0.00,2,     1.63,2,     0.02,2,    0.084,2,    0.000,2,    1.021,2,   2242.1,2,   2286.2,2,    -0.34,2,    75.90,2
  32H120030721,   CAA,     1,  2, 264505,      5,2,20030726,0429, 72.7530, -67.0245, 2374,   1501.9,  -0.0775,  34.4850,  34.4868,2,    138.6,2,    74.24,2,    21.55,2,     0.00,2,     1.75,2,     0.01,2,    0.000,2,    0.000,2,    0.559,2,   2257.7,2,   2287.6,2,    -0.38,2,    79.40,2
  32H120030721,   CAA,     1,  2, 264504,      4,2,20030726,0429, 72.7530, -67.0245, 2374,   1751.7,  -0.2860,  34.4895,  34.4917,2,   -999.0,9,    86.63,2,    22.28,2,     0.00,2,     1.82,2,     0.03,2,    0.000,2,    0.000,2,    0.000,2,   2270.0,2,   2301.5,2,    -0.39,2,    91.50,2
  32H120030721,   CAA,     1,  2, 264503,      3,2,20030726,0429, 72.7530, -67.0245, 2374,   2001.7,  -0.3465,  34.4945,  34.4976,2,   -999.0,9,    96.49,2,    22.80,2,     0.00,2,     1.87,2,     0.02,2,    0.000,2,    0.000,2,    0.000,2,   2274.5,2,   2298.7,2,    -0.43,2,    96.80,2
  32H120030721,   CAA,     1,  2, 264502,      2,2,20030726,0429, 72.7530, -67.0245, 2374,   2256.4,  -0.3290,  34.4970,  34.4974,2,    121.0,2,   102.35,2,    23.12,2,     0.00,2,     1.89,2,     0.04,2,    0.000,2,    0.000,2,    0.000,2,   -999.0,9,   -999.0,9,    -0.42,2,   101.90,2
  32H120030721,   CAA,     1,  2, 264501,      1,2,20030726,0429, 72.7530, -67.0245, 2374,   2393.4,  -0.3190,  34.4970,  34.4972,2,    120.8,2,   102.24,2,    22.97,2,     0.00,2,     1.89,2,     0.03,2,    0.000,2,    0.000,2,    0.000,2,   2277.2,2,   2298.7,2,    -0.38,2,   100.50,2
  32H120030721,   CAA,   101,  3, 264538,     14,2,20030726,1115, 72.7477, -67.0022, 2365,     54.4,  -1.5820,  33.1940,  33.2035,2,   -999.0,9,  -999.00,9,     0.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9
  32H120030721,   CAA,   101,  3, 264539,     15,2,20030726,1115, 72.7477, -67.0022, 2365,     54.0,  -1.5820,  33.1930,  33.2037,2,   -999.0,9,  -999.00,9,     0.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9
  32H120030721,   CAA,   101,  3, 264537,     13,2,20030726,1115, 72.7477, -67.0022, 2365,     54.2,  -1.5810,  33.1940,  33.2029,2,   -999.0,9,  -999.00,9,     0.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9
